x,y,Ex,Ey
0.0119743,0.00277091,16.1699,20.4251
0.0119743,0.00369455,17.1232,20.4251
0.0119743,0.00461818,22.8906,25.8346
0.0119743,0.00554182,23.0046,-20.4202
0.0119743,0.00646545,22.043,-20.4202
0.0119743,0.00738909,18.0119,-23.2682
0.0119743,0.00831273,15.183,-49.0104
0.0119743,0.00923636,12.3866,-49.0104
0.0119743,0.01016,0,-58.0634
0.0130629,0,0,47.3932
0.0130629,0.000923636,1.84687,47.3932
0.0130629,0.00184727,12.805,55.4976
0.0130629,0.00277091,16.1699,19.3016
0.0130629,0.00369455,21.7009,24.4324
0.0130629,0.00461818,22.8906,24.4324
0.0130629,0.00554182,23.0046,-19.2868
0.0130629,0.00646545,20.9382,-19.8193
0.0130629,0.00738909,18.0119,-19.8193
0.0130629,0.00831273,15.183,-45.7146
0.0130629,0.00923636,5.74227,-51.2958
0.0130629,0.01016,0,-51.2958
0.0141514,0,0,45.2166
0.0141514,0.000923636,8.63614,50.5843
0.0141514,0.00184727,12.805,50.5843
0.0141514,0.00277091,20.5111,23.0302
0.0141514,0.00369455,21.7009,23.0302
0.0141514,0.00461818,22.8906,23.0302
0.0141514,0.00554182,23.8645,-16.3704
0.0141514,0.00646545,20.9382,-16.3704
0.0141514,0.00738909,18.0119,-16.3704
0.0141514,0.00831273,11.4845,-44.5281
0.0141514,0.00923636,5.74227,-44.5281
0.0141514,0.01016,0,-44.5281
0.01524,0,0,40.1982
0.01524,0.000923636,9.47582,40.1982
0.01524,0.00184727,38.6608,62.1277
0.01524,0.00277091,47.9921,17.6944
0.01524,0.00369455,52.9962,17.6944
0.01524,0.00461818,65.1621,26.4906
0.01524,0.00554182,65.5496,-13.204
0.01524,0.00646545,62.8972,-13.204
0.01524,0.00738909,49.3546,-22.8735
0.01524,0.00831273,41.0655,-34.3799
0.01524,0.00923636,32.0452,-34.3799
0.01524,0.01016,1.56498e-14,-57.0132
0.0163286,0,0,29.0303
0.0163286,0.000923636,27.8871,49.4302
0.0163286,0.00184727,38.6608,49.4302
0.0163286,0.00277091,47.9921,11.7967
0.0163286,0.00369455,61.7347,22.4512
0.0163286,0.00461818,65.1621,22.4512
0.0163286,0.00554182,65.5496,-10.078
0.0163286,0.00646545,55.4497,-15.6899
0.0163286,0.00738909,49.3546,-15.6899
0.0163286,0.00831273,41.0655,-23.7488
0.0163286,0.00923636,12.1909,-42.6453
0.0163286,0.01016,1.56498e-14,-42.6453
0.0174171,0,0,35.263
0.0174171,0.000923636,15.7616,35.263
0.0174171,0.00184727,31.5232,35.263
0.0174171,0.00277091,72.5887,16.9522
0.0174171,0.00369455,80.9698,16.9522
0.0174171,0.00461818,89.3508,16.9522
0.0174171,0.00554182,98.1411,-9.16573
0.0174171,0.00646545,94.2838,-9.16573
0.0174171,0.00738909,73.1071,-28.5899
0.0174171,0.00831273,60.6779,-27.8073
0.0174171,0.00923636,46.8915,-27.8073
0.0174171,0.01016,-8.62555e-14,-64.1632
0.0185057,0,0,16.6868
0.0185057,0.000923636,15.7616,16.6868
0.0185057,0.00184727,58.6921,47.2684
0.0185057,0.00277091,72.5887,7.07457
0.0185057,0.00369455,80.9698,7.07457
0.0185057,0.00461818,97.5076,19.217
0.0185057,0.00554182,98.1411,-4.61965
0.0185057,0.00646545,81.4644,-18.7401
0.0185057,0.00738909,73.1071,-18.7401
0.0185057,0.00831273,60.6779,-11.559
0.0185057,0.00923636,16.7978,-44.3657
0.0185057,0.01016,-8.62555e-14,-44.3657
0.0195943,0,0,-1.88941
0.0195943,0.000923636,42.9569,28.7234
0.0195943,0.00184727,58.6921,28.7234
0.0195943,0.00277091,72.5887,-2.80307
0.0195943,0.00369455,92.3833,13.1777
0.0195943,0.00461818,97.5076,13.1777
0.0195943,0.00554182,89.8218,-8.89034
0.0195943,0.00646545,81.4644,-8.89034
0.0195943,0.00738909,73.1071,-8.89034
0.0195943,0.00831273,33.5957,-24.5682
0.0195943,0.00923636,16.7978,-24.5682
0.0195943,0.01016,-8.62555e-14,-24.5682
0.0206829,0,0,7.44365
0.0206829,0.000923636,19.4478,7.44365
0.0206829,0.00184727,38.8955,7.44365
0.0206829,0.00277091,86.2884,3.35739
0.0206829,0.00369455,96.5456,3.35739
0.0206829,0.00461818,115.135,13.5183
0.0206829,0.00554182,115.649,-1.72953
0.0206829,0.00646545,110.942,-1.72953
0.0206829,0.00738909,85.5579,-22.7415
0.0206829,0.00831273,70.6467,-4.86813
0.0206829,0.00923636,53.981,-4.86813
0.0206829,0.01016,9.81321e-14,-45.0468
0.0217714,0,0,-15.4769
0.0217714,0.000923636,19.4478,-15.4769
0.0217714,0.00184727,70.1987,21.2542
0.0217714,0.00277091,86.2884,-8.73148
0.0217714,0.00369455,109.4,6.75915
0.0217714,0.00461818,115.135,6.75915
0.0217714,0.00554182,115.649,3.8179
0.0217714,0.00646545,95.2058,-11.3707
0.0217714,0.00738909,85.5579,-11.3707
0.0217714,0.00831273,70.6467,14.7736
0.0217714,0.00923636,19.1108,-22.5234
0.0217714,0.01016,9.81321e-14,-22.5234
0.02286,0,0,-38.3975
0.02286,0.000923636,52.1649,0
0.02286,0.00184727,70.1987,0
0.02286,0.00277091,103.665,0
0.02286,0.00369455,109.4,0
0.02286,0.00461818,115.135,4.14125e-15
0.02286,0.00554182,104.854,0
0.02286,0.00646545,95.2058,0
0.02286,0.00738909,85.5579,3.8317e-14
0.02286,0.00831273,38.2215,5.51993e-14
0.02286,0.00923636,19.1108,-2.75997e-14
0.02286,0.01016,9.81321e-14,0
